qPCR_name,new_name,plate
SqmUp_1_1222_1,1222.5Sqm.Up.1,CUT-IN-099
SqmUp_1_1222_1,1222.5Sqm.Up.1,COHO-099
SqmUp_2_0322_10,0322.5Sqm.Up.2,COHO-098
SqmUp_2_0422_10,0422.5Sqm.Up.2,COHO-098
SqmUp_2_0522_10,0522.5Sqm.Up.2,COHO-098
SqmUp_2_0622_10,0622.5Sqm.Up.2,COHO-098
SqmUp_2_0722_10,0722.5Sqm.Up.2,CUT-IN-099
SqmUp_2_0722_10,0722.5Sqm.Up.2,COHO-099
SqmUp_2_0822_1,822.5Sqm.Up.2,CUT-IN-099
SqmUp_2_0822_1,0822.5Sqm.Up.2,COHO-099
SqmUp_2_1222_1,1222.5Sqm.Up.2,CUT-IN-099
SqmUp_2_1222_1,1222.5Sqm.Up.2,COHO-099
SqmUp_3_0322_10,0322.5Sqm.Up.3,COHO-098
SqmUp_3_0422_10,0422.5Sqm.Up.3,COHO-098
SqmUp_3_0522_10,0522.5Sqm.Up.3,COHO-098
SqmUp_3_0622_10,0622.5Sqm.Up.3,COHO-098
SqmUp_3_0722_1,722.5Sqm.Up.3,CUT-IN-099
SqmUp_3_0722_1,0722.5Sqm.Up.3,COHO-099
SqmUp_3_0722-1,722.5Sqm.Up.3,CUT-IN-099
SqmUp_3_0722-1,0722.5Sqm.Up.3,COHO-099
SqmUp_3_0822_1,822.5Sqm.Up.3,CUT-IN-099
SqmUp_3_0822_1,0822.5Sqm.Up.3,COHO-099
SqmUp_3_1222_1,1222.5Sqm.Up.3,CUT-IN-099
SqmUp_3_1222_1,1222.5Sqm.Up.3,COHO-099
SqmUp1.0322 1:10,0322.5Sqm.Up.1,CUT-IN-098
SqmUp1.0422 1:10,0422.5Sqm.Up.1,CUT-IN-098
SqmUp1.0522 1:10,0522.5Sqm.Up.1,CUT-IN-098
SqmUp1.0622 1:10,0622.5Sqm.Up.1,CUT-IN-098
SqmUp1.0622TR2 1:10,0622.5Sqm.Up.1,CUT-IN-098
SqmUp1.0622TR3 1:10,0622.5Sqm.Up.1,CUT-IN-098
SqmUp2.0322 1:10,0322.5Sqm.Up.2,CUT-IN-098
SqmUp2.0422 1:10,0422.5Sqm.Up.2,CUT-IN-098
SqmUp2.0522 1:10,0522.5Sqm.Up.2,CUT-IN-098
SqmUp2.0622 1:10,0622.5Sqm.Up.2,CUT-IN-098
SqmUp3.0322 1:10,0322.5Sqm.Up.3,CUT-IN-098
SqmUp3.0422 1:10,0422.5Sqm.Up.3,CUT-IN-098
SqmUp3.0522 1:10,0522.5Sqm.Up.3,CUT-IN-098
SqmUp3.0622 1:10,0622.5Sqm.Up.3,CUT-IN-098
PadDn_1_0322_10,322.4Pad.Dn.1,MB
PadDn_1_0422_1,422.4Pad.Dn.1,MB
PadDn_1_0522_1,522.4Pad.Dn.1,MB
PadDn_1_0522_TR2_1,522.4Pad.Dn.1,MB
PadDn_1_0522_TR3_1,522.4Pad.Dn.1,MB
PadDn_1_0622_10,622.4Pad.Dn.1,MB
PadDn_2_0322_10,322.4Pad.Dn.2,MB
PadDn_2_0422_1,422.4Pad.Dn.2,MB
PadDn_2_0522_1,522.4Pad.Dn.2,MB
PadDn_2_0622_10,622.4Pad.Dn.2,MB
PadDn_3_0322_10,322.4Pad.Dn.3,MB
PadDn_3_0422_1,422.4Pad.Dn.3,MB
PadDn_3_0522_1,522.4Pad.Dn.3,MB
PadDn_3_0622_10,622.4Pad.Dn.3,MB
PadUp11_1_0322_1,322.4Pad.Up11.1,MB
PadUp11_1_0422_1,422.4Pad.Up11.1,MB
PadUp11_1_0522_10,522.4Pad.Up11.1,MB
PadUp11_1_0622_10,622.4Pad.Up11.1,MB
PadUp11_2_0322_1,322.4Pad.Up11.2,MB
PadUp11_2_0422_1,422.4Pad.Up11.2,MB
PadUp11_2_0522_1,522.4Pad.Up11.2,MB
PadUp11_2_0622_10,622.4Pad.Up11.2,MB
PadUp11_3_0322_1,322.4Pad.Up11.3,MB
PadUp11_3_0422_1,422.4Pad.Up11.3,MB
PadUp11_3_0522_1,522.4Pad.Up11.3,MB
PadUp11_3_0622_10,622.4Pad.Up11.3,MB
PadUp5_1_0322_1,322.4Pad.Up5.1,MB
PadUp5_1_0422_1,422.4Pad.Up5.1,MB
PadUp5_1_0522_1,522.4Pad.Up5.1,MB
PadUp5_1_0622_10,622.4Pad.Up5.1,MB
PadUp5_2_0322_1_1,322.4Pad.Up5.2,MB
PadUp5_2_0422_1,422.4Pad.Up5.2,MB
PadUp5_2_0522_1,522.4Pad.Up5.2,MB
PadUp5_2_0622_10,622.4Pad.Up5.2,MB
PadUp5_3_0322_1,322.4Pad.Up5.3,MB
PadUp5_3_0422_1,422.4Pad.Up5.3,MB
PadUp5_3_0522_1,522.4Pad.Up5.3,MB
PadUp5_3_0622_10,622.4Pad.Up5.3,MB
PrtDn_1_0322_100,322.1Prt.Dn.1,MB
PrtDn_1_0422_10,422.1Prt.Dn.1,MB
PrtDn_1_0422_TR2_10,422.1Prt.Dn.1,MB
PrtDn_1_0422_TR3_10,422.1Prt.Dn.1,MB
PrtDn_1_0522_10,522.1Prt.Dn.1,MB
PrtDn_1_0622_100,622.1Prt.Dn.1,MB
PrtDn_2_0322_100,322.1Prt.Dn.2,MB
