"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_samp[16,2]",1.60304956087825e-06,1.18588275777737e-07,6.507522886176e-06,4.0599217013524e-13,6.00917705563639e-10,1.82581397354257e-08,3.77365454616476e-07,1.6135434096997e-05,3011.2575297935,0.999339286854004
"mu_samp[16,3]",0.604421457843214,4.69074886726853e-05,0.00259983293690608,0.599296490994073,0.602608109092676,0.604468747895083,0.606186464268463,0.60951108052732,3071.89606910341,0.999685378005407
"mu_samp[16,4]",5.53618812895811e-06,1.96306881611158e-07,1.1136898251685e-05,4.82423747849812e-09,2.50630667327263e-07,1.38237712872193e-06,5.81447077310583e-06,3.64360291889874e-05,3218.52921299465,1.00032143562872
"mu_samp[17,1]",0.455368123334585,2.54563800091827e-05,0.00129056363901627,0.45290012146835,0.45448982131171,0.455367039881751,0.456211144765892,0.457909094862613,2570.19194963287,1.00070138318557
"mu_samp[17,2]",4.07879190699913e-07,2.70787170947311e-08,1.38835460875256e-06,2.91608569148671e-13,2.5144551962037e-10,6.89588917470573e-09,1.29026304417694e-07,4.17606097190946e-06,2628.72189595986,0.999809529734514
"mu_samp[17,3]",0.544629723726682,2.54486088872474e-05,0.00129039917870371,0.542081363288003,0.543786823791095,0.54462898284284,0.545508039670866,0.547097652357189,2571.10647157108,1.00069504465627
"mu_samp[17,4]",1.74505954193947e-06,5.01416733878287e-08,2.93186362555469e-06,2.88867156584515e-09,1.21561025861983e-07,5.84162204334407e-07,1.96223605628851e-06,1.0451026900898e-05,3418.92743723525,1.00070113159168
"mu_samp[18,1]",0.75509005947044,3.08899623466821e-05,0.00169180505710029,0.751776887272175,0.753947769000042,0.755069854131169,0.756240993680528,0.758338621918804,2999.61750783939,1.00025006444063
"mu_samp[18,2]",9.38763027919107e-07,6.46884581325473e-08,3.37629391490523e-06,2.0914444018745e-13,3.49982787118207e-10,1.27298894974192e-08,2.42329232192123e-07,9.13248195741469e-06,2724.12412642631,0.9996270530359
"mu_samp[18,3]",0.244905582628899,3.08931004571316e-05,0.00169177594637786,0.241659641904244,0.243754055449025,0.244925004954768,0.246045986806086,0.248222912320641,2998.90493218932,1.00025326333037
"mu_samp[18,4]",3.41913763347513e-06,1.11923011888989e-07,6.36690929125025e-06,4.19574237561767e-09,1.69553589168274e-07,9.04867323909555e-07,3.75584331738386e-06,2.20801334966782e-05,3236.07477214741,1.0000986638252
"mu_samp[19,1]",0.884349139042156,1.51341048611633e-05,0.000801331976147825,0.882691971914988,0.883825033096792,0.884371377764638,0.884886193719642,0.8858479169343,2803.5704161119,1.00024729977468
"mu_samp[19,2]",3.11723962400297e-07,2.12824450468965e-08,1.17141029582879e-06,2.53519352848122e-13,2.46684310242543e-10,6.02501099146058e-09,9.51116899518638e-08,3.01158829611942e-06,3029.52842937122,1.00032900789492
"mu_samp[19,3]",0.115649041872536,1.5132727251099e-05,0.000801296086362087,0.11415184157756,0.115111155593829,0.115626698914974,0.116174393044266,0.117306977564932,2803.82971541209,1.00024826503459
"mu_samp[19,4]",1.5073613453089e-06,4.71857446966156e-08,2.60993815252171e-06,1.86861497464016e-09,9.24035390490065e-08,4.77074963205731e-07,1.68694070942781e-06,9.21021636992904e-06,3059.4179110314,0.999163509359959
"mu_samp[20,1]",0.657369886040506,3.94478109634616e-05,0.00214925806978442,0.653055084570924,0.655907049374153,0.657442197399166,0.658825034567198,0.661549541758006,2968.46078057565,0.999268728426059
"mu_samp[20,2]",1.03138997884294e-06,6.86794867622534e-08,3.63899165927185e-06,3.38773058412732e-13,4.03784695889897e-10,1.46061435311903e-08,3.13973106652222e-07,1.06710355910169e-05,2807.42419374194,0.99951253230488
"mu_samp[20,3]",0.342624843929295,3.94470355812098e-05,0.00214939953875199,0.33844884457909,0.341171262293499,0.342551595867497,0.344080033657265,0.346944594006414,2968.96828922105,0.999268112180538
"mu_samp[20,4]",4.23864022049366e-06,1.49373603464443e-07,8.3244984753706e-06,4.96493944188695e-09,1.94196686473417e-07,1.16023679905121e-06,4.77461506074896e-06,2.64507030592202e-05,3105.76391899813,1.00049200971243
"mu_samp[21,1]",0.162039239456803,2.08304299295572e-05,0.00113402938475554,0.159851075200833,0.161267259127785,0.162037428984467,0.16280976782681,0.164289676236054,2963.82221421334,0.999454763285672
"mu_samp[21,2]",3.86826635588011e-06,1.01112077915991e-07,5.93037088562925e-06,5.58199308897268e-09,3.33685492315653e-07,1.66458559798086e-06,4.93005769843397e-06,1.9637423845246e-05,3439.99363509605,0.999602499119904
"mu_samp[21,3]",0.124281365193841,1.79488677558331e-05,0.000980620345928188,0.122264010976508,0.123640610992804,0.124291760897682,0.124937863373124,0.126242858992677,2984.88555288385,0.999559254982125
"mu_samp[21,4]",0.713675527083,2.47638178415681e-05,0.00136361804853914,0.710968574224073,0.712734116178163,0.713664750055917,0.71464822560745,0.716271774875019,3032.147194373,0.999882246702927
"mu_samp[22,1]",0.0686138600582529,1.67579160272548e-05,0.000891236531295895,0.0668539041545522,0.0679974553418664,0.0686223720175095,0.069214818825574,0.0703417681075043,2828.43328664676,0.999707419994415
"mu_samp[22,2]",4.73591739405779e-06,1.12763676775533e-07,7.09738307967134e-06,9.33144343534536e-09,4.04572649734714e-07,1.87605153872316e-06,5.99906878256942e-06,2.48645184672932e-05,3961.48519789455,0.999163404411124
"mu_samp[22,3]",0.175800861652445,2.6220799897409e-05,0.0012931247919364,0.173212109851453,0.174928054328326,0.175792903319759,0.176676795219253,0.178320567980578,2432.1424271448,1.00287682966063
"mu_samp[22,4]",0.755580542371908,2.75482197856559e-05,0.0014905512216318,0.752633481852268,0.754592138671125,0.755568433013636,0.756605520804063,0.758501776125419,2927.5662457607,1.00058549608094
"mu_samp[23,1]",0.651701918879391,5.55543134344372e-05,0.00295259936681111,0.645902753328424,0.649652721648202,0.651701637259845,0.653699072801044,0.657623627328503,2824.70744799329,0.999821489020661
"mu_samp[23,2]",2.05526021073448e-06,1.31281511043425e-07,7.15607926844817e-06,5.94723105586828e-13,6.41896350387707e-10,2.41008324022035e-08,5.10332575815729e-07,2.12349687818365e-05,2971.27707197971,0.999739526116395
"mu_samp[23,3]",0.348288807662935,5.55526986374404e-05,0.0029529728246714,0.342375075300269,0.346290515615588,0.348294642977661,0.350333575897862,0.354091847354582,2825.58631645447,0.999825721217037
"mu_samp[23,4]",7.21819746391681e-06,2.58888961069121e-07,1.48604329033835e-05,4.9069044937041e-09,2.474841080629e-07,1.56458792070413e-06,7.09269555823575e-06,4.93579530713129e-05,3294.85158648137,0.999961815423433
"mu_samp[24,1]",0.140079281025738,4.08074692899238e-05,0.00231259454210133,0.135672876693338,0.138476732233272,0.140022316030737,0.141627827667026,0.14452472150083,3211.58682591736,0.999457820638926
"mu_samp[24,2]",1.61094894809355e-05,4.40499441518507e-07,2.65863945850857e-05,2.02710193011911e-08,1.17370488440778e-06,5.93784679330225e-06,1.99546762065668e-05,8.61551351275911e-05,3642.73994360265,0.999538647484773
"mu_samp[24,3]",2.87705265160779e-05,6.87512291937173e-07,3.62847873337584e-05,2.71144461492771e-07,5.04392386845177e-06,1.54915844571135e-05,3.91313819121576e-05,0.000132426568992257,2785.40422170741,1.00089298528146
"mu_samp[24,4]",0.859875838958265,4.07719285322099e-05,0.00231296352471967,0.85541362002966,0.85833365533028,0.859931375911228,0.861464562538934,0.864312977815945,3218.21503527162,0.999458141505524
"mu_samp[25,1]",0.849709505784223,4.70145874613533e-05,0.00249989166347356,0.844800427425171,0.848122611139261,0.849709471864648,0.851382470735282,0.854488941341978,2827.33400935218,0.999488627642041
"mu_samp[25,2]",2.36644085295477e-06,1.74991945462938e-07,8.98132259222742e-06,5.36339055969637e-13,1.11465148205294e-09,2.95332924157562e-08,4.61164425453151e-07,2.50209451729576e-05,2634.17408337093,0.99987789650783
"mu_samp[25,3]",0.150280069952738,4.70036105492008e-05,0.00250007550350762,0.145510672006494,0.148615011510632,0.150280903710843,0.151866014090728,0.155178601302625,2829.07076660686,0.999481454849831
"mu_samp[25,4]",8.05782218602128e-06,2.96924466973449e-07,1.66816107949846e-05,5.28906537761958e-09,2.93224559290244e-07,1.61890341884938e-06,8.13151937828162e-06,5.67584307167526e-05,3156.34158735753,0.999874142149487
"mu_samp[26,1]",0.700044022712283,5.81595199611461e-05,0.00321093305457236,0.693690921873665,0.697836549752554,0.70009662546786,0.702241862742287,0.706470684658702,3048.04149735288,1.000287257908
"mu_samp[26,2]",2.40588306596757e-06,1.53549437005392e-07,8.88877396943887e-06,5.42940351253847e-13,1.00441655898819e-09,2.85080204784714e-08,5.74812965721266e-07,2.36539877065238e-05,3351.0990809666,0.999846243284987
"mu_samp[26,3]",0.29994485678216,5.8155536910114e-05,0.00321103387350362,0.293529140217905,0.297732421800498,0.299894221534779,0.302159107467623,0.306300441963472,3048.65046804241,1.00029152586599
"mu_samp[26,4]",8.71462249171004e-06,3.47031139304527e-07,1.92664146381972e-05,5.28123142001036e-09,3.10386598788414e-07,1.79604872403432e-06,7.81952122525341e-06,6.94543648958169e-05,3082.22907726297,0.999262361969212
"mu_samp[27,1]",0.999992433556997,3.65142700516573e-07,1.95981873705028e-05,0.999937464702844,0.999994888783667,0.99999940694148,0.999999969649894,0.999999999891207,2880.7565934757,0.999202869573544
"mu_samp[27,2]",9.33482648941131e-07,1.08624250494841e-07,6.01453886622818e-06,1.17026102015001e-15,5.23399618054104e-12,4.05883779051597e-10,2.09279938653784e-08,9.02346506497805e-06,3065.85129129919,0.999444467488556
"mu_samp[27,3]",5.61073587109923e-06,3.22378635600519e-07,1.70029536527169e-05,2.97740200579855e-12,6.54810001594828e-09,1.95613903222397e-07,2.77818252100356e-06,5.30834186279449e-05,2781.73808309842,0.999113783504062
"mu_samp[27,4]",1.02222448335247e-06,1.06699547948891e-07,5.30412493929534e-06,3.49760308179419e-12,7.25134025423352e-10,1.11895945379219e-08,1.55051873502763e-07,9.07950598322836e-06,2471.16834322445,1.00069937545631
"mu_samp[28,1]",0.99999761554761,1.08233562056057e-07,5.98597092082632e-06,0.999981946973317,0.999998133356978,0.9999997169337,0.999999978752754,0.999999999936815,3058.75929544905,1.00215014356029
"mu_samp[28,2]",2.63865721791518e-07,3.52544140878827e-08,1.91172908176369e-06,1.15698456948942e-15,3.89504874862832e-12,2.02332286220185e-10,9.33745702117336e-09,2.33812790738475e-06,2940.53051792423,0.999514711345926
"mu_samp[28,3]",1.77141367070693e-06,9.76535932513572e-08,5.12438647215627e-06,3.47063914509306e-12,3.56213645763167e-09,1.01905738814863e-07,1.10864153899935e-06,1.56532601587628e-05,2753.6408497785,1.00243642739381
"mu_samp[28,4]",3.49172997696792e-07,3.43828407496521e-08,1.77064318288455e-06,2.7262996644062e-12,5.1105228276982e-10,7.61027591773594e-09,7.84124185451939e-08,3.07310611815091e-06,2652.03097318967,0.999595023641588
